t : Time (s)
A : Acceleration (m/s^2): X, Y, Z
G : Gyroscope    (rad/s): X, Y, Z
M : Magnetometer (uT): X, Y, Z

t	AX	AY	AZ	GX	GY	GZ	MX	MY	MZ
5.4965799999999945	-9.478	-1.433	0.266	-0.0	0.028	-0.056	30.9	29.7	-9.0	
5.5356500000007145	-9.459	-1.666	0.336	-0.0	-0.0	-0.026	30.6	29.7	-8.4	
5.575410000000375	-9.568	-1.851	0.38	-0.073	0.038	-0.036	30.9	29.4	-7.8	
5.61916999999994	-9.492	-1.827	0.513	-0.079	0.018	-0.0	30.6	29.4	-7.8	
5.659090000000106	-9.576	-1.693	0.844	0.069	-0.092	0.087	30.6	29.4	-8.4	
5.695190000000366	-9.526	-1.978	0.984	0.136	-0.282	0.025	30.3	29.4	-9.0	
5.734740000000784	-9.512	-2.091	0.628	-0.042	-0.065	-0.056	30.6	29.1	-9.0	
5.77448000000004	-9.555	-1.988	0.448	0.098	0.094	-0.172	30.3	28.8	-9.3	
5.805540000000292	-9.586	-1.757	0.685	0.202	0.049	-0.078	30.3	28.2	-9.0	
5.845770000000812	-9.546	-1.907	0.431	0.212	-0.076	0.057	30.3	28.8	-9.6	
5.8858000000000175	-9.65	-2.362	0.145	0.035	0.048	-0.147	30.3	29.1	-9.6	
5.926150000000234	-9.604	-2.176	0.459	-0.0	-0.047	-0.082	30.6	28.8	-9.0	
5.965700000000652	-9.554	-1.971	0.696	0.039	-0.247	0.286	30.6	29.4	-9.3	
6.005770000000666	-9.617	-2.32	0.433	0.023	-0.163	0.235	30.6	28.8	-9.6	
6.045170000000326	-9.629	-2.085	0.472	-0.063	-0.0	0.282	30.6	28.2	-9.9	
6.095950000000812	-9.492	-1.696	0.835	-0.083	-0.076	0.529	30.3	27.6	-10.5	
6.138789999999972	-9.614	-1.915	0.741	-0.061	0.131	0.255	30.0	27.3	-9.9	
6.174930000000131	-9.476	-1.777	0.572	-0.033	0.08	0.175	30.0	27.6	-10.2	
6.205510000000686	-9.332	-1.21	0.5	-0.132	0.131	0.52	30.3	27.6	-10.5	
6.245450000000346	-9.72	-1.169	0.891	-0.168	-0.214	0.52	31.2	27.3	-10.2	
6.285460000000057	-9.543	-1.085	0.651	0.064	-0.424	0.441	31.5	26.4	-9.9	
6.325440000000526	-9.373	-0.406	0.725	0.283	-0.733	1.238	32.4	24.9	-9.6	
6.364990000000034	-10.439	0.957	1.466	-0.0	-1.112	3.541	32.7	23.1	-10.2	
6.409360000000561	-10.145	2.604	1.518	0.328	-1.153	5.693	32.7	19.5	-11.7	
6.445740000000114	-9.667	4.233	2.331	1.088	-1.429	8.118	33.3	13.2	-13.8	
6.498600000000806	-10.747	4.894	7.092	1.475	-4.347	11.396	31.5	3.0	-16.5	
6.53476000000046	-9.065	1.426	6.649	3.046	-5.151	10.732	27.0	-8.4	-19.5	
6.57416000000012	-2.665	5.724	1.092	3.949	-3.181	10.023	17.4	-20.4	-21.6	
6.6137100000005375	0.158	9.146	-0.572	2.787	-0.861	9.404	3.3	-28.8	-21.3	
